SNo,RefNo,Name,Age,MobNo,Email,BorNB,Gender,Height,Weight,TS1,TS2,TS3,TS4,TS5,BTS6,ts1_C,ts2_C,ts3_C,ts4_C,ts5_C,bts6_C,nbts6_C,BA,A,AA
1,HYDAPT1054,EAXACMSD,20,3389869436,EAXACMSD@mail.com,B,Female,156.0,65.5,0.0,0.0,0.0,0.0,0.0,0.0,Below Average,Below Average,Below Average,Below Average,Above Average,Below Average,,5,0,1
2,HYDAPT1251,FGDMXCBQ,20,5337133698,FGDMXCBQ@mail.com,B,Female,168.5,74.5,20.0,25.0,39.0,30.0,22.0,34.0,Below Average,Average,Above Average,Above Average,Above Average,Average,,1,2,3
3,HYDAPT1300,VHIUDZMI,20,2713341643,VHIUDZMI@mail.com,B,Female,169.5,57.5,19.0,25.0,21.0,30.0,22.0,34.0,Below Average,Average,Below Average,Above Average,Above Average,Average,,2,2,2
4,HYDAPT1441,ZYNPGQBS,20,8174196894,ZYNPGQBS@mail.com,B,Female,163.0,78.5,,,,,,,Marks not entered,Marks not entered,Marks not entered,Marks not entered,Marks not entered,Marks not entered,,0,0,0
5,HYDAPT1627,OSLMEOJN,20,2863226839,OSLMEOJN@mail.com,B,Female,168.5,57.5,23.0,24.0,29.0,34.0,32.0,31.0,Average,Average,Average,Above Average,Above Average,Average,,0,4,2
6,HYDAPT1683,XRZPRLFE,20,3615815952,XRZPRLFE@mail.com,B,Female,157.5,55.5,,,,,,,Marks not entered,Marks not entered,Marks not entered,Marks not entered,Marks not entered,Marks not entered,,0,0,0
7,HYDAPT1026,VQDNXECR,21,3355315339,VQDNXECR@mail.com,B,Female,154.0,75.5,,,,,,,Marks not entered,Marks not entered,Marks not entered,Marks not entered,Marks not entered,Marks not entered,,0,0,0
8,HYDAPT1056,YOHGQHOH,21,9287632531,YOHGQHOH@mail.com,B,Female,172.0,60.0,,,,,,,Marks not entered,Marks not entered,Marks not entered,Marks not entered,Marks not entered,Marks not entered,,0,0,0
9,HYDAPT1825,TLIKVGET,21,6616585239,TLIKVGET@mail.com,B,Female,163.0,53.0,,,,,,,Marks not entered,Marks not entered,Marks not entered,Marks not entered,Marks not entered,Marks not entered,,0,0,0
10,HYDAPT1093,HEFSXZAG,22,3687515847,HEFSXZAG@mail.com,B,Female,154.0,55.0,,,,,,,Marks not entered,Marks not entered,Marks not entered,Marks not entered,Marks not entered,Marks not entered,,0,0,0
